city,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio
alto alegre do pindare,1,199.0,60.56,1,0,-30.118564814814814,1,5.0,0.0,0.0,0.0,0.30432160804020103
alto araguaia,5,1085.73,142.4,5,1,-10.417631944444445,5,3.4,2.0,20.0,40.0,0.13115599642636752
alto bela vista,1,0.0,0.0,0,0,,1,5.0,0.0,,0.0,
alto boa vista,5,418.0,163.99,5,0,-14.169321759259258,3,4.666666666666667,0.0,0.0,0.0,0.39232057416267946
alto caparao,2,478.9,43.18,2,0,-2.1458275462962964,2,4.5,0.0,0.0,0.0,0.09016496136980581
alto do rodrigues,8,2737.46,609.24,8,0,-13.228100405092592,8,4.5,0.0,0.0,0.0,0.22255667662723838
alto garcas,2,258.8,81.26,2,0,-13.017303240740741,2,4.0,0.0,0.0,0.0,0.31398763523956724
alto horizonte,2,233.91,51.24,2,0,-12.061417824074073,2,4.0,0.0,0.0,0.0,0.21905861228677698
alto jequitiba,4,211.89,63.540000000000006,3,0,-12.64974537037037,4,3.75,1.0,0.0,25.0,0.2998725753928926
alto paraiso,2,1256.99,76.92,2,0,-16.170833333333334,2,4.5,0.0,0.0,0.0,0.06119380424665272
alto paraiso de goias,9,1367.3400000000001,595.97,9,1,-11.931563786008232,9,3.888888888888889,1.0,11.11111111111111,11.11111111111111,0.4358608685476911
alto parana,2,389.9,61.94,2,0,-16.387042824074072,2,4.5,0.0,0.0,0.0,0.15886124647345473
alto parnaiba,5,777.79,170.31,5,0,-14.86898611111111,5,4.4,0.0,0.0,0.0,0.2189665590969285
alto piquiri,1,412.0,20.5,1,0,-14.25170138888889,1,4.0,0.0,0.0,0.0,0.04975728155339806
alto rio doce,4,213.42,65.13,4,0,-5.464224537037037,4,4.0,1.0,0.0,25.0,0.3051728985099803
alto rio novo,2,266.5,60.730000000000004,2,0,-17.686637731481483,2,4.0,0.0,0.0,0.0,0.2278799249530957
alto santo,3,622.89,178.12,3,0,-14.367557870370371,3,4.0,0.0,0.0,0.0,0.2859573921559184
alto sao joao,1,54.99,18.26,1,1,33.52009259259259,1,5.0,0.0,100.0,0.0,0.33206037461356613
alto taquari,3,750.88,70.28999999999999,3,0,-13.230138888888888,3,4.666666666666667,0.0,0.0,0.0,0.09361016407415299
altonia,3,494.9,62.28,3,0,-12.19119598765432,3,4.666666666666667,0.0,0.0,0.0,0.12584360476864015
altos,5,1345.39,215.48000000000002,5,0,-17.300189814814814,5,4.2,0.0,0.0,0.0,0.16016173748875792
aluminio,13,1252.15,248.49,13,2,-5.728140135327635,13,3.4615384615384617,3.0,15.384615384615385,23.076923076923077,0.1984506648564469
alvarenga,2,211.0,34.11,2,0,-17.06269675925926,2,4.5,0.0,0.0,0.0,0.16165876777251184
alvares florence,2,185.76,41.47,2,1,-6.89900462962963,2,5.0,0.0,50.0,0.0,0.22324504737295436
alvares machado,8,4022.57,204.85,8,0,-11.691335358796296,8,4.75,0.0,0.0,0.0,0.05092515481396222
alvaro de carvalho,2,358.0,41.0,2,0,-23.77924189814815,2,4.5,0.0,0.0,0.0,0.11452513966480447
alvinopolis,11,807.06,213.9,11,0,-18.21813026094276,11,4.2727272727272725,0.0,0.0,0.0,0.26503605679875103
alvorada,56,7702.2,1620.86,56,5,-13.067427662037037,56,4.125,7.0,8.928571428571429,12.5,0.21044117265196957
alvorada d'oeste,1,359.98,70.12,1,0,-40.09753472222222,1,3.0,0.0,0.0,0.0,0.19478859936663148
alvorada do gurgueia,1,37.0,50.85,1,0,-23.500671296296296,1,4.0,0.0,0.0,0.0,1.3743243243243244
alvorada do norte,3,164.88,56.84,3,0,-9.416670524691357,3,4.666666666666667,0.0,0.0,0.0,0.34473556525958277
